名稱	戰法	特性1	特性2	特性3	奉行特性	家宰特性	所屬	登場年	統率	武勇	智略	政務	合計	物慾	主義	出身	信仰	騎兵LV	鐵炮LV	AI LV	野心
細野藤敦	攪亂	破策			治水奉行	年功加俸	伊勢	1554	40	55	62	64	221	普通	保守	武士	佛教			B	7
牧野康成	止步	自衛			武士之悟	重農主義	三河	1569	55	55	52	46	208	普通	保守	武士	佛教			B	6
益田藤兼	攪亂	鐵壁			治水奉行	役民基建	石見	1543	60	55	53	53	221	普通	中庸	武士	佛教			B	8
水谷勝隆	內訌	破策			工事奉行	重農主義	下總	1606	65	55	51	67	238	普通	革新	武士	佛教			B	7
三木直賴	攪亂	自衛			國司之教	增強兵役	飛騨	1511	69	55	59	73	256	普通	保守	名門	佛教	○		B	11
姊小路良賴	攪亂	雄辯			國司之教	增強兵役	飛騨	1530	64	55	58	61	238	貪婪	保守	名門	佛教			B	9
三木良賴																					
壬生義雄	激勵	自衛			樂市奉行	謀攻主義	下野	1566	62	55	54	46	217	貪婪	保守	武士	佛教			B	10
三村元范	激勵	反攻			武士之悟	增強兵役	備中	1563	47	55	44	43	189	淡泊	保守	武士	佛教			C	5
安田能元	止步	修繕			治水奉行	積草屯糧	越后	1571	40	55	66	65	226	普通	保守	武士	佛教			B	7
山口宗永	罵聲	工事			治水奉行	常備兵訓練	山城	1563	50	55	60	35	200	淡泊	革新	武士	佛教			C	6
山田匡得	止步	工事			武士之悟	增強兵役	日向	1558	54	55	59	31	199	貪婪	保守	武士	佛教			C	3
山田宗昌																					
山名祐豐	混亂	自衛			制銀奉行	固守城池	但馬	1525	57	55	51	60	223	貪婪	保守	名門	佛教			B	9
吉松光久	警戒	攻勢			武士之悟	臥薪嚐膽	土佐	1538	47	55	36	37	175	淡泊	保守	武士	佛教			C	6
赤井時家	罵聲	攻城			制銀奉行	增強兵役	丹波	1509	62	56	58	45	221	貪婪	保守	武士	佛教			B	6
阿蘇惟長	罵聲	計謀			寺社奉行	鬼神兵法	肥后	1495	54	56	59	62	231	普通	保守	僧侶	佛教			C	14
穴山梅雪	止步	鐵壁	雄辯		制銀奉行	調遣民夫	甲斐	1554	54	56	52	63	225	貪婪	革新	武士	佛教			B	10
穴山信君																					
尼子勝久	威壓	攻勢			尼子傳	人海戰術	出雲	1568	45	56	36	40	177	普通	中庸	武士	佛教			C	8
池田長正	激勵	盡心盡力			樂市奉行	增強兵役	攝津	1534	60	56	35	51	202	淡泊	中庸	武士	佛教			B	10
伊集院忠朗	攪亂	能吏	炮術		炮術奉行	精銳銃手	薩摩	1517	73	56	75	80	284	普通	中庸	武士	佛教		○	A	10
一色義道	警戒	雄辯			樂市奉行	常備兵訓練	山城	1548	61	56	37	38	192	普通	中庸	武士	佛教		○	B	7
伊東義祐	警戒	工事			工事奉行	增強兵役	日向	1527	63	56	46	59	224	貪婪	中庸	武士	佛教	○		B	11
伊東祐慶	突襲	破策			軍糧奉行	增強兵役	日向	1603	36	56	45	58	195	普通	中庸	武士	佛教			C	6
植田光次	罵聲	計謀			忍者之悟	謀攻主義	伊賀	1527	62	56	71	38	227	普通	中庸	忍者	佛教			B	6
氏家吉繼	內訌	用兵			溫泉奉行	歸農主義	陸前	1551	43	56	60	75	234	淡泊	保守	武士	佛教			B	13
宇山久兼	警戒	暗中活動			軍糧奉行	購買糧食	出雲	1525	63	56	47	76	242	淡泊	中庸	武士	佛教			B	2
海野棟綱	飛馳	反攻			武士之悟	人海戰術	信濃	1477	55	56	51	42	204	普通	保守	武士	佛教			B	9
江戶重通	突襲	自衛			武士之悟	重視內治	長陸	1570	57	56	44	50	207	貪婪	保守	武士	佛教			B	6
大石定久	內訌	雄辯			武士之悟	人海戰術	武藏	1505	39	56	48	59	202	淡泊	保守	武士	佛教			B	7
太田資顯	止步	巧言			治水奉行	常備兵訓練	武藏	1522	67	56	66	62	251	普通	中庸	武士	佛教			B	5
太田資高	飛馳	破策			工事奉行	常備兵訓練	武藏	1507	58	56	51	62	227	普通	中庸	武士	佛教	○		B	6
岡國高	內訌	攻城			旗幟奉行	重商主義	大和	1542	55	56	55	55	221	普通	革新	武士	佛教			B	4
小山高朝	威壓	盡心盡力			甲冑奉行	重視內治	下野	1522	48	56	38	48	190	貪婪	中庸	武士	佛教			B	8
鹿子木親員	止步	盡心盡力			治水奉行	役民基建	肥后	1491	54	56	58	72	240	貪婪	保守	武士	佛教			B	10
小松	混亂	修繕			樂市奉行	重視內治	三河	1587	69	56	70	70	265	普通	革新	武士	佛教			A	5
籠手田安昌	罵聲	能吏			南蠻奉行	增強軍役	肥前	1522	61	56	55	63	235	普通	革新	武士	基督教			B	8
駒木根利政	罵聲	暗中活動			軍糧奉行	購買糧食	磐城	1568	62	56	51	67	236	貪婪	中庸	武士	佛教			B	5
下間賴慶	潛力	巧言	炮術		制銀奉行	補給鐵炮	攝津	1490	62	56	78	80	276	淡泊	保守	僧侶	一向宗		○	B	2
城親賢	警戒	攻城			武士之悟	固守城池	肥后	1554	52	56	52	45	205	普通	保守	武士	佛教			B	8
新開實綱	混亂	盡心盡力			治水奉行	年功加俸	阿波	1557	65	56	53	24	198	淡泊	保守	武士	佛教			C	8
菅沼定盈	威壓	修繕			樂市奉行	固守城池	三河	1557	53	56	64	49	222	普通	保守	武士	佛教			B	4
杉原長房	罵聲	防災			工事奉行	歸農主義	近江	1584	62	56	67	54	239	普通	革新	武士	佛教			B	6
鈴木重兼	潛力	工事	炮術		鈴木傳	鐵炮訓練	紀伊	1554	61	56	76	83	276	普通	保守	軍師	一向宗		○	B	6
高橋鑒種	警戒	巧言			樂市奉行	固守城池	豐后	1544	57	56	54	49	216	貪婪	中庸	武士	佛教			B	13
高山友照	內訌	盛名			治水奉行	重商主義	攝津	1541	48	56	64	52	220	淡泊	革新	武士	佛教			B	9
伊達阿南	罵聲	反攻			伊達傳	擴張農產	巖代	1555	72	56	61	59	248	淡泊	中庸	武士	佛教			B	4
田村清顯	罵聲	人脈	雄辯		工事奉行	積草屯糧	磐城	1542	70	56	55	64	245	普通	保守	武士	佛教			B	8
土肥政繁	突襲	反攻			旗幟奉行	積草屯糧	越中	1554	55	56	44	30	185	淡泊	中庸	武士	佛教			C	7
戶田氏鐵	威壓	鐵壁			工事奉行	重農主義	三河	1590	67	56	58	66	247	普通	革新	武士	佛教			B	7
戶田尊次	激勵	攻城			旗幟奉行	年功加俸	三河	1579	43	56	33	35	167	普通	中庸	武士	一向宗			C	9
內藤信成	飛馳	控場			治水奉行	重視內治	三河	1557	70	56	53	43	222	淡泊	中庸	武士	佛教			B	5
長倉義重	攪亂	攻城			旗幟奉行	常備兵訓練	長陸	1505	46	56	52	53	207	貪婪	中庸	武士	佛教			B	8
鍋島清房	飛馳	用兵			鍋島傳	常備兵訓練	肥前	1526	48	56	52	57	213	普通	革新	武士	佛教			B	6
仁賀保誠政	激勵	盡心盡力			治水奉行	歸農主義	羽后	1590	77	56	55	49	237	貪婪	中庸	武士	佛教			B	8
二本松常賴	威壓	鐵壁			旗幟奉行	增強兵役	巖代	1569	56	56	53	50	215	淡泊	中庸	武士	佛教			B	3
沼田麝香	突襲	鐵壁			南蠻奉行	臥薪嚐膽	若狹	1558	48	56	45	32	181	貪婪	革新	武士	基督教			C	4
畠山義隆	突襲	防災			樂市奉行	加征米稅	能登	1571	41	56	58	50	205	普通	中庸	武士	佛教			C	6
福原資孝	止步	修繕			治水奉行	擴張農產	下野	1548	37	56	67	46	206	普通	保守	武士	佛教			B	9
逸見昌經	內訌	盡心盡力			樂市奉行	加征米稅	若狹	1546	45	56	67	55	223	淡泊	保守	武士	佛教			B	9
保科正直	突襲	自衛			軍糧奉行	地區檢地	信濃	1556	60	56	60	54	230	淡泊	中庸	武士	佛教			B	9
細川元常	混亂	破策			名門之悟	年功加俸	和泉	1496	58	56	65	79	258	普通	保守	名門	佛教			B	5
堀秀治	內訌	用兵			軍糧奉行	擴張農產	近江	1590	48	56	54	59	217	普通	革新	武士	佛教			C	8
本願寺教如	攪亂	自衛	風雅		本願寺傳	能人之治	攝津	1572	73	56	71	68	268	普通	保守	僧侶	一向宗		○	B	8
北鄉時久	止步	破策			守城奉行	增強兵役	日向	1544	47	56	63	66	232	普通	中庸	武士	佛教			B	6
本多康俊	罵聲	盡心盡力			治水奉行	練武練兵	三河	1583	70	56	57	49	232	普通	革新	武士	佛教			B	7
本多政朝	飛馳	破策			軍糧奉行	調遣民夫	上總	1613	43	56	36	57	192	普通	革新	武士	佛教			C	5
益子勝清	威壓	鐵壁			武士之悟	增強兵役	下野	1518	59	56	49	52	216	普通	保守	武士	佛教			B	8
松浦隆信	攪亂	雄辯	工事		海賊之悟	交易主義	肥前	1543	60	56	60	79	255	貪婪	革新	海賊	佛教		○	B	10
溝口長友	混亂	自衛			武士之悟	精銳騎兵	信濃	1497	60	56	57	39	212	淡泊	保守	武士	佛教			B	1
毛利輝元	飛馳	人脈	修繕		毛利傳	重農主義	安藝	1567	50	56	41	69	216	普通	保守	武士	佛教			A	6
筑田政綱	罵聲	防災			守城奉行	成果加俸	尾張	1546	35	56	64	63	218	貪婪	中庸	武士	佛教			B	9
青木一重	突襲	自衛			樂市奉行	地區檢地	美濃	1566	60	57	47	48	212	普通	革新	武士	佛教			B	4
赤星親家	混亂	破策			武士之悟	積草屯糧	肥后	1529	52	57	52	59	220	貪婪	保守	武士	佛教			B	9
赤松政秀	內訌	工事			名門之悟	擴張農產	播磨	1536	61	57	66	49	233	貪婪	革新	名門	佛教			B	6
秋田實季	內訌	盡心盡力			商人之悟	交易主義	羽后	1587	68	57	54	52	231	普通	革新	武士	佛教		○	B	8
安東實季																					
安東堯季	止步	自衛			軍糧奉行	購買糧食	羽后	1507	69	57	65	68	259	普通	中庸	武士	佛教			B	5
安樂兼寬	止步	修繕			治水奉行	重視內治	大隅	1545	52	57	58	57	224	普通	中庸	武士	佛教			B	3
池田重利	罵聲	堅陣			僧侶之悟	調遣民夫	攝津	1609	67	57	75	61	260	普通	革新	僧侶	一向宗			B	8
伊勢貞昌	攪亂	雄辯	攻勢		樂市奉行	增強兵役	薩摩	1582	61	57	75	64	257	普通	革新	武士	佛教			B	6
伊奈忠政	混亂	鐵壁	防災		官吏之悟	役商基建	三河	1600	76	57	65	76	274	普通	革新	武士	佛教			B	6
巖城重隆	攪亂	雄辯	工事		軍糧奉行	常備兵訓練	磐城	1515	70	57	64	75	266	普通	保守	武士	佛教			B	10
巖成友通	潛力	雄辯	巧言		樂市奉行	重商主義	備后	1544	46	57	60	50	213	貪婪	中庸	武士	佛教			B	8
大內義綱	潛力	乾坤	攻勢		工事奉行	常備兵訓練	磐城	1533	59	57	71	49	236	貪婪	中庸	武士	佛教			B	10
田原親家	激勵	自衛			軍糧奉行	重視內治	豐后	1575	60	57	37	43	197	貪婪	革新	武士	佛教			C	8
大友親家																					
大野直昌	威壓	盡心盡力			樂市奉行	增強軍役	伊予	1548	70	57	53	42	222	普通	革新	武士	佛教		○	B	4
大村喜前	激勵	修繕			南蠻奉行	役民基建	肥前	1583	47	57	35	39	178	淡泊	革新	武士	基督教		○	C	10
小河信安	止步	鐵壁			工事奉行	補給騎兵	筑後	1522	78	57	74	82	291	普通	革新	武士	佛教		○	B	2
蠣崎季廣	止步	盡心盡力	雄辯		廻船之薦	交易主義	蝦夷	1521	66	57	78	85	286	普通	中庸	武士	佛教			B	8
印牧美滿	止步	工事			治水奉行	人海戰術	越前	1514	45	57	61	56	219	貪婪	保守	武士	佛教			B	6
吉川經世	內訌	工事			工事奉行	重農主義	安藝	1503	74	57	68	72	271	普通	保守	武士	佛教	○		B	5
黑田重隆	攪亂	計謀	工事		商人之悟	購買糧食	備前	1522	44	57	76	76	253	普通	中庸	武士	佛教			B	8
神森出雲	潛力	堅陣			軍糧奉行	臥薪嚐膽	土佐	1525	82	57	82	41	262	貪婪	保守	武士	佛教			B	4
木造俊茂	罵聲	修繕			守城奉行	年功加俸	伊勢	1509	57	57	66	80	260	淡泊	中庸	名門	佛教			B	10
蘆名義廣	警戒	攻勢			佐竹傳	常備兵訓練	長陸	1590	48	57	34	55	194	普通	中庸	武士	佛教			C	7
佐竹義廣																					
仙石忠政	警戒	修繕			工事奉行	常備兵訓練	美濃	1592	74	57	49	69	249	普通	革新	武士	佛教			C	6
高梨秀政	突襲	鐵壁			武士之悟	增強兵役	信濃	1542	47	57	52	50	206	普通	保守	武士	佛教			B	7
種子島久時	混亂	炮術			炮術奉行	鐵炮訓練	大隅	1582	32	57	51	55	195	貪婪	革新	武士	佛教		⌾	C	6
田丸直昌	威壓	攻勢			甲冑奉行	常備兵訓練	伊勢	1565	21	57	24	41	143	貪婪	中庸	武士	佛教		○	C	7
藤堂高吉	警戒	防災			軍糧奉行	調遣民夫	近江	1593	56	57	44	72	229	淡泊	革新	武士	佛教			B	8
富田信高	突襲	暗中活動			樂市奉行	重商主義	近江	1578	52	57	62	63	234	淡泊	革新	武士	佛教			C	4
內藤興盛	罵聲	攻勢	防災		工事奉行	人海戰術	周防	1502	77	57	69	71	274	普通	保守	武士	佛教			B	8
納富信景	攪亂	攻勢	巧言		守城奉行	補給騎兵	肥前	1543	66	57	71	73	267	普通	中庸	武士	佛教			B	4
花房正成	治療	攻城			守城奉行	擴張農產	備前	1569	44	57	73	65	239	淡泊	中庸	武士	佛教			B	6
原田忠佐	威壓	攻勢			甲冑奉行	武斷主義	美作	1591	30	57	54	51	192	普通	中庸	武士	佛教			C	7
藤田信吉	攪亂	計謀			治水奉行	謀攻主義	武藏	1573	51	57	70	54	232	貪婪	保守	武士	佛教			B	11
別所安治	止步	修繕			守城奉行	武斷主義	播磨	1546	54	57	72	67	250	普通	中庸	武士	佛教			C	6
松平廣忠	罵聲	鐵壁			德川傳	重農主義	三河	1535	69	57	56	78	260	淡泊	中庸	武士	佛教			A	7
皆川廣照	混亂	破策			治水奉行	役民基建	下野	1562	46	57	59	65	227	貪婪	保守	武士	佛教			B	9
屋代勝永	攪亂	攻城			武士之悟	地區檢地	信濃	1572	54	57	55	46	212	普通	保守	武士	佛教			B	7
山田長政	威壓	盛名	海神		商人之悟	交易主義	駿河	1604	48	57	43	39	187	貪婪	革新	庶民	佛教		○	C	7
山名豐國	威壓	鐵壁			名門之悟	固守城池	但馬	1562	28	57	35	40	160	貪婪	保守	名門	佛教			C	9
結城政勝	混亂	盡心盡力	自衛		守城奉行	重視內治	下總	1517	69	57	73	90	289	普通	中庸	武士	佛教			B	8
游佐續光	攪亂	雄辯			軍師之悟	加征米稅	能登	1541	41	57	75	69	242	貪婪	中庸	軍師	佛教			B	13
義姬	混亂	計謀	暗中活動		最上傳	鬼神兵法	羽前	1562	73	57	83	53	266	貪婪	革新	武士	佛教			A	5
龍造寺家就	飛馳	自衛			龍造寺傳	補給騎兵	肥前	1542	63	57	45	59	224	普通	革新	武士	佛教			B	7
龍造寺周家	威壓	自衛			龍造寺傳	補給騎兵	肥前	1518	63	57	50	50	220	淡泊	革新	武士	佛教			B	4
雨森彌兵衛	攪亂	計謀	能吏		治水奉行	常備兵訓練	近江	1529	57	58	75	76	266	淡泊	保守	武士	佛教			A	6
安東茂季	激勵	攻城			旗幟奉行	購買糧食	羽后	1555	48	58	57	44	207	普通	革新	武士	佛教			C	6
板垣信方	混亂	自衛	攻城	攻勢	治水奉行	固守城池	甲斐	1504	83	58	81	74	296	淡泊	中庸	武士	佛教	○		A	3
一條房基	內訌	攻勢			國司之教	加征米稅	土佐	1536	73	58	72	58	261	貪婪	保守	名門	佛教			B	4
稻葉重通	止步	盡心盡力			樂市奉行	增強兵役	美濃	1559	77	58	69	54	258	淡泊	革新	武士	佛教	○		B	6
稻葉正成	混亂	雄辯			樂市奉行	重商主義	美濃	1585	68	58	69	80	275	普通	革新	武士	佛教			B	10
井上元兼	混亂	盡心盡力			治水奉行	重農主義	安藝	1501	66	58	55	30	209	貪婪	保守	武士	佛教			B	12
江上武種	激勵	馬術			馬術奉行	強化騎兵	肥前	1540	47	58	45	31	181	淡泊	中庸	武士	佛教	○		B	7
惠利暢堯	混亂	破策			守城奉行	歸農主義	筑前	1564	53	58	71	78	260	淡泊	中庸	武士	佛教			B	2
津輕信枚	止步	人脈	能吏		南蠻奉行	臥薪嚐膽	陸奧	1598	59	58	74	75	266	普通	革新	武士	基督教			B	8
大浦信枚																					
笠原信為	內訌	巧言			溫泉奉行	重農主義	伊豆	1523	57	58	63	67	245	淡泊	革新	武士	佛教			B	6
蒲池鑒盛	內訌	盡心盡力	用兵		軍糧奉行	購買糧食	筑後	1534	67	58	62	74	261	淡泊	中庸	武士	佛教			B	4
蒲生賢秀	罵聲	修繕			治水奉行	獎勵樂市	近江	1548	52	58	66	55	231	淡泊	中庸	武士	佛教			B	7
長野具藤	警戒	攻城			國司之教	速食軍糧	伊勢	1570	41	58	50	55	204	貪婪	保守	名門	佛教			C	6
北畠具藤																					
衣笠范景	激勵	鐵壁			樂市奉行	加征米稅	播磨	1531	61	58	46	49	214	普通	保守	武士	佛教			B	7
肝付良兼	突襲	堅陣	馬術		治水奉行	役商基建	大隅	1549	66	58	56	47	227	普通	保守	武士	佛教	○		B	10
桑名吉成	警戒	攻城			旗幟奉行	增強兵役	土佐	1565	39	58	56	44	197	淡泊	中庸	武士	佛教			C	9
佐竹親直	威壓	盡心盡力			甲冑奉行	增強兵役	土佐	1580	58	58	52	44	212	普通	中庸	武士	佛教	○		B	6
里見義賴	內訌	雄辯			軍糧奉行	臥薪嚐膽	安房	1557	65	58	78	55	256	貪婪	中庸	武士	佛教			B	10
真田信吉	內訌	防災			真田傳	深謀遠慮	信濃	1609	56	58	63	55	232	普通	中庸	武士	佛教	○		B	8
真田信政	威壓	防災			真田傳	增強軍役	信濃	1611	58	58	60	47	223	貪婪	革新	武士	佛教			B	10
猿渡信光	激勵	牢固			旗幟奉行	增強兵役	薩摩	1548	52	58	47	41	198	普通	中庸	武士	佛教			C	8
雫石詮貞	攪亂	修繕			名門之悟	擴張農產	陸中	1517	41	58	60	48	207	普通	中庸	名門	佛教	○		B	5
鈴木忠重	內訌	工事			治水奉行	深謀遠慮	上野	1588	31	58	62	32	183	淡泊	中庸	武士	佛教			C	7
關一政	止步	反攻			武士之悟	重商主義	伊勢	1565	50	58	48	48	204	普通	保守	武士	佛教			B	8
田中吉政	激勵	工事			庶民之悟	歸農主義	近江	1562	54	58	50	60	222	貪婪	中庸	武士	佛教			B	9
田村顯盛	飛馳	反攻			甲冑奉行	積草屯糧	磐城	1515	52	58	56	29	195	普通	中庸	武士	佛教	○		C	9
田村宗顯	飛馳	雄辯			工事奉行	臥薪嚐膽	磐城	1575	71	58	55	71	255	淡泊	保守	武士	佛教			B	8
田村友顯	激勵	牢固			旗幟奉行	積草屯糧	磐城	1542	51	58	25	33	167	普通	中庸	武士	佛教			C	7
長連龍	止步	盡心盡力			工事奉行	武斷主義	能登	1560	61	58	66	56	241	普通	中庸	武士	佛教			B	6
土橋重治	激勵	反攻			治水奉行	精銳銃手	紀伊	1540	63	58	45	53	219	普通	保守	武士	佛教			B	6
土持親成	攪亂	盡心盡力	能吏		軍糧奉行	增強兵役	日向	1533	79	58	58	69	264	普通	中庸	武士	佛教		○	B	11
寺崎良次	威壓	攻城			旗幟奉行	歸農主義	陸前	1541	56	58	27	31	172	貪婪	中庸	武士	佛教			C	8
戶澤道盛	罵聲	盡心盡力			治水奉行	精銳騎兵	羽后	1529	65	58	54	52	229	普通	保守	武士	佛教			B	7
長尾房景	警戒	自衛			甲冑奉行	積草屯糧	越后	1494	58	58	55	40	211	淡泊	中庸	武士	佛教			B	7
那須資胤	突襲	反攻			名門之悟	武斷主義	下野	1541	53	58	54	37	202	貪婪	保守	名門	佛教			C	11
初鹿野昌次	突襲	反攻			武士之悟	地區檢地	甲斐	1559	44	58	58	44	204	普通	保守	武士	佛教			B	7
支倉常長	飛馳	雄辯	炮術		南蠻奉行	交易主義	羽前	1585	31	58	54	62	205	淡泊	革新	武士	佛教		○	B	6
畠山義綱	混亂	人脈			工事奉行	加征米稅	能登	1550	63	58	70	59	250	貪婪	革新	武士	佛教			B	6
服部友貞	突襲	攻勢			武士之悟	強化鐵炮兵	尾張	1529	53	58	49	29	189	普通	保守	武士	一向宗		○	C	7
稗貫廣忠	混亂	暗中活動			武士之悟	歸農主義	陸中	1556	47	58	52	60	217	淡泊	保守	武士	佛教			B	8
細川興元	突襲	盡心盡力			樂市奉行	積草屯糧	山城	1580	59	58	40	47	204	淡泊	革新	武士	佛教			B	10
堀尾吉晴	混亂	用兵			庶民之悟	歸農主義	尾張	1557	62	58	57	63	240	普通	中庸	庶民	佛教			B	6
牧國信	激勵	修繕			溫泉奉行	增強軍役	美作	1545	56	58	59	53	226	普通	中庸	武士	佛教			B	7
松平長親	混亂	盡心盡力	地利		德川傳	重農主義	三河	1487	66	58	72	76	272	淡泊	中庸	武士	佛教			B	8
水谷胤重	警戒	盡心盡力			工事奉行	騎兵訓練	磐城	1552	65	58	55	62	240	淡泊	保守	武士	佛教			B	4
溝尾茂朝	激勵	牢固			武士之悟	補給鐵炮	美濃	1557	29	58	51	34	172	普通	保守	武士	佛教			C	2
三淵光行	內訌	自衛			名門之悟	積草屯糧	山城	1585	64	58	61	52	235	淡泊	中庸	名門	佛教			B	4
南方就正	攪亂	修繕			治水奉行	勞民動眾	安藝	1554	43	58	60	53	214	普通	中庸	武士	佛教			B	7
豐臣秀次	激勵	人脈			羽柴傳	重用人才	尾張	1582	43	58	33	47	181	貪婪	革新	庶民	佛教			C	11
三好秀次																					
屋代景賴	攪亂	鐵壁			治水奉行	交易主義	羽前	1577	55	58	75	41	229	貪婪	中庸	武士	佛教	○	○	B	11
山岡重長	止步	攻城			樂市奉行	擴張農產	陸前	1567	77	58	69	63	267	普通	革新	武士	佛教			B	7
吉田康俊	罵聲	攻勢			甲冑奉行	增強兵役	土佐	1579	56	58	58	55	227	淡泊	革新	武士	佛教			B	6
吉弘政宣	突襲	牢固			旗幟奉行	固守城池	豐后	1594	45	58	44	33	180	普通	中庸	武士	佛教			C	5
龍造寺信周	攪亂	破策			龍造寺傳	補給騎兵	肥前	1548	54	58	56	60	228	普通	革新	武士	佛教			B	6
留守景宗	潛力	地利	能吏		伊達傳	增強兵役	陸前	1506	42	58	70	74	244	普通	革新	武士	佛教	○		B	5
安倍元真	混亂	攻勢			甲冑奉行	獎勵樂市	駿河	1528	45	59	59	45	208	普通	中庸	武士	佛教			B	8
尼子晴久	止步	盡心盡力	用兵	工事	尼子傳	重商主義	出雲	1528	78	59	77	75	289	貪婪	中庸	武士	佛教			B	9
池田長吉	內訌	防災			樂市奉行	地區檢地	尾張	1585	58	59	66	64	247	淡泊	革新	武士	佛教			B	8
一色義幸	激勵	盡心盡力			武士之悟	加征米稅	山城	1513	50	59	48	48	205	貪婪	保守	武士	佛教			B	6
一色滿信	飛馳	反攻			武士之悟	加征米稅	山城	1573	54	59	57	56	226	貪婪	保守	武士	佛教			B	7
伊東長實	攪亂	修繕			治水奉行	積草屯糧	尾張	1573	56	59	68	42	225	普通	革新	武士	佛教			C	8
稻葉典通	突襲	盡心盡力			工事奉行	常備兵訓練	美濃	1581	61	59	61	52	233	普通	中庸	武士	佛教			B	7
巖清水義教	攪亂	防災			掘金奉行	擴張農產	陸中	1560	38	59	65	57	219	淡泊	保守	武士	佛教			B	12
宇都宮國綱	警戒	自衛			守城奉行	武斷主義	下野	1576	57	59	61	64	241	貪婪	中庸	武士	佛教			C	8
小笠原信定	罵聲	乾坤	馬術		工事奉行	強化騎兵	信濃	1535	63	59	75	44	241	普通	保守	武士	佛教	○		B	9
織田信廣	突襲	盡心盡力			織田傳	常備兵訓練	尾張	1541	62	59	46	47	214	普通	革新	武士	佛教			B	9
松前慶廣	混亂	人脈	雄辯		廻船之薦	交易主義	蝦夷	1564	68	59	73	86	286	貪婪	革新	武士	佛教			B	11
蠣崎慶廣																					
垣屋光成	警戒	攻勢			武士之悟	固守城池	但馬	1536	53	59	59	46	217	普通	保守	武士	佛教			B	8
蒲池鎮漣	威壓	鐵壁			工事奉行	購買糧食	筑後	1561	61	59	58	60	238	普通	中庸	武士	佛教			B	3
北條景廣	激勵	牢固			旗幟奉行	增強兵役	越后	1562	42	59	52	30	183	普通	革新	武士	佛教			C	9
北條氏勝	警戒	鐵壁			治水奉行	人海戰術	相模	1573	62	59	32	47	200	貪婪	中庸	武士	佛教			C	8
九戶信仲	止步	工事			治水奉行	補給騎兵	陸奧	1528	51	59	60	50	220	貪婪	中庸	武士	佛教			B	11
木造雄利	潛力	盡心盡力			僧侶之悟	速食軍糧	伊勢	1557	54	59	77	43	233	普通	保守	僧侶	佛教			B	8
後藤壽庵	混亂	工事			南蠻奉行	交易主義	陸中	1591	69	59	66	73	267	普通	革新	武士	基督教			B	7
佐竹義昭	止步	自衛	堅陣		佐竹傳	常備兵訓練	長陸	1545	71	59	77	81	288	淡泊	保守	武士	佛教			B	9
里見義康	警戒	攻城			旗幟奉行	常備兵訓練	安房	1587	43	59	43	54	199	普通	中庸	武士	佛教			C	7
新莊直忠	威壓	盛名	工事		旗幟奉行	常備兵訓練	近江	1551	53	59	41	58	211	普通	中庸	武士	佛教			B	5
菅谷范政	混亂	自衛			樂市奉行	增強兵役	長陸	1573	62	59	61	31	213	淡泊	保守	武士	佛教			B	2
關盛信	內訌	鐵壁			治水奉行	重商主義	伊勢	1529	49	59	60	67	235	普通	保守	武士	佛教			B	7
高原次勝	止步	攻城			旗幟奉行	地區檢地	贊岐	1589	50	59	58	50	217	淡泊	革新	武士	佛教			B	6
武田信豐	飛馳	攻勢			名門之悟	加征米稅	若狹	1528	57	59	36	41	193	淡泊	保守	名門	佛教			C	8
多胡辰敬	止步	自衛			軍糧奉行	購買糧食	出雲	1511	62	59	58	60	239	淡泊	中庸	武士	佛教			B	3
土橋守重	激勵	自衛			樂市奉行	精銳銃手	紀伊	1532	62	59	52	26	199	普通	保守	武士	一向宗			C	7
常田隆永	突襲	盡心盡力			真田傳	地區檢地	信濃	1533	59	59	52	39	209	淡泊	中庸	武士	佛教			B	8
中川秀成	飛馳	攻城			守城奉行	歸農主義	攝津	1584	75	59	51	54	239	淡泊	中庸	武士	佛教			B	6
那須資景	威壓	鐵壁			名門之悟	擴張農產	下野	1598	64	59	56	49	228	普通	保守	名門	佛教			C	6
南條元續	混亂	人脈	巧言		樂市奉行	重農主義	伯耆	1560	56	59	70	61	246	普通	革新	武士	佛教			B	8
畠山稙長	飛馳	破策			名門之悟	加征米稅	河內	1515	57	59	45	65	226	淡泊	保守	名門	佛教			C	9
樋口兼豐	混亂	鐵壁	能吏		工事奉行	重視內治	越后	1553	74	59	76	74	283	普通	保守	武士	佛教			A	5
北條為昌	治療	工事	修繕		北條傳	勞民動眾	相模	1532	53	59	70	76	258	淡泊	中庸	武士	佛教			B	5
真里谷全方	警戒	自衛			治水奉行	增強軍役	上總	1494	62	59	61	58	240	淡泊	保守	武士	佛教			B	5
三好政勝	飛馳	牢固			三好傳	重商主義	阿波	1550	51	59	52	48	210	貪婪	中庸	武士	佛教			B	7
毛利高政	內訌	修繕			治水奉行	地區檢地	尾張	1573	57	59	65	51	232	淡泊	中庸	武士	佛教			B	4
安富純治	激勵	鐵壁			樂市奉行	增強軍役	肥前	1554	60	59	47	39	205	普通	革新	武士	佛教			B	9
山吉景長	突襲	防災			樂市奉行	積草屯糧	越后	1577	56	59	61	45	221	淡泊	保守	武士	佛教			B	7
和田通興	警戒	攻城			武士之悟	役商基建	伊予	1519	55	59	42	59	215	貪婪	保守	武士	佛教			B	12
安居景健	飛馳	血氣			朝倉傳	人海戰術	越前	1551	64	60	49	36	209	淡泊	中庸	武士	佛教	○		B	11
朝倉景健																					
